ID,Date,Target,Region
6,12/1/2009,0,LA
6,12/2/2009,0,LA
6,12/3/2009,0,LA
6,12/4/2009,0,LA
6,12/5/2009,0,LA
6,12/6/2009,0,LA
6,12/7/2009,0,LA
6,12/8/2009,0,LA
6,12/9/2009,0,LA
6,12/10/2009,0,LA
6,12/11/2009,0,LA
6,12/12/2009,0,LA
6,12/13/2009,0,LA
6,12/14/2009,0,LA
6,12/15/2009,0,LA
6,12/16/2009,0,LA
6,12/17/2009,0,LA
6,12/18/2009,0,LA
6,12/19/2009,0,LA
6,12/20/2009,0,LA
6,12/21/2009,0,LA
6,12/22/2009,0,LA
6,12/23/2009,0,LA
6,12/24/2009,0,LA
6,12/25/2009,0,LA
6,12/26/2009,0,LA
6,12/27/2009,0,LA
6,12/28/2009,0,LA
6,12/29/2009,0,LA
6,12/30/2009,0,LA
6,12/31/2009,0,LA
6,1/1/2010,0,LA
6,1/2/2010,0,LA
6,1/3/2010,0,LA
6,1/4/2010,0,LA
6,1/5/2010,0,LA
6,1/6/2010,0,LA
6,1/7/2010,0,LA
6,1/8/2010,0,LA
6,1/9/2010,0,LA
6,1/10/2010,0,LA
6,1/11/2010,0,LA
6,1/12/2010,0,LA
6,1/13/2010,0,LA
6,1/14/2010,0,LA
6,1/15/2010,0,LA
6,1/16/2010,0,LA
6,1/17/2010,0,LA
6,1/18/2010,0,LA
6,1/19/2010,0,LA
6,1/20/2010,0,LA
6,1/21/2010,0,LA
6,1/22/2010,0,LA
6,1/23/2010,0,LA
6,1/24/2010,0,LA
6,1/25/2010,0,LA
6,1/26/2010,0,LA
6,1/27/2010,0,LA
6,1/28/2010,0,LA
6,1/29/2010,0,LA
6,1/30/2010,0,LA
6,1/31/2010,0,LA
6,2/1/2010,0,LA
6,2/2/2010,0,LA
6,2/3/2010,0,LA
6,2/4/2010,0,LA
6,2/5/2010,0,LA
6,2/6/2010,0,LA
6,2/7/2010,0,LA
6,2/8/2010,0,LA
6,2/9/2010,0,LA
6,2/10/2010,0,LA
6,2/11/2010,0,LA
6,2/12/2010,0,LA
6,2/13/2010,0,LA
6,2/14/2010,0,LA
6,2/15/2010,0,LA
6,2/16/2010,0,LA
6,2/17/2010,0,LA
6,2/18/2010,0,LA
6,2/19/2010,0,LA
6,2/20/2010,0,LA
6,2/21/2010,0,LA
6,2/22/2010,0,LA
6,2/23/2010,0,LA
6,2/24/2010,0,LA
6,2/25/2010,0,LA
6,2/26/2010,0,LA
6,2/27/2010,0,LA
6,2/28/2010,0,LA
6,3/1/2010,0,LA
6,3/2/2010,0,LA
6,3/3/2010,0,LA
6,3/4/2010,0,LA
6,3/5/2010,0,LA
6,3/6/2010,1,LA
6,3/7/2010,1,LA
6,3/8/2010,1,LA
6,3/9/2010,1,LA
6,3/10/2010,1,LA
6,3/11/2010,1,LA
6,3/12/2010,1,LA
6,3/13/2010,1,LA
6,3/14/2010,1,LA
6,3/15/2010,1,LA
6,3/16/2010,1,LA
6,3/17/2010,1,LA
6,3/18/2010,1,LA
6,3/19/2010,1,LA
6,3/20/2010,1,LA
6,3/21/2010,1,LA
6,3/22/2010,1,LA
6,3/23/2010,1,LA
6,3/24/2010,1,LA
6,3/25/2010,0,LA
6,3/26/2010,0,LA
6,3/27/2010,0,LA
6,3/28/2010,0,LA
6,3/29/2010,0,LA
6,3/30/2010,0,LA
6,3/31/2010,0,LA
6,4/1/2010,0,LA
6,4/2/2010,0,LA
6,4/3/2010,0,LA
6,4/4/2010,0,LA
6,4/5/2010,0,LA
6,4/6/2010,0,LA
6,4/7/2010,0,LA
6,4/8/2010,0,LA
6,4/9/2010,0,LA
6,4/10/2010,0,LA
6,4/11/2010,0,LA
6,4/12/2010,0,LA
6,4/13/2010,0,LA
6,4/14/2010,0,LA
6,4/15/2010,0,LA
6,4/16/2010,0,LA
6,4/17/2010,0,LA
6,4/18/2010,0,LA
6,4/19/2010,0,LA
6,4/20/2010,0,LA
6,4/21/2010,0,LA
6,4/22/2010,0,LA
6,4/23/2010,0,LA
6,4/24/2010,0,LA
6,4/25/2010,0,LA
6,4/26/2010,0,LA
6,4/27/2010,0,LA
6,4/28/2010,0,LA
6,4/29/2010,0,LA
6,4/30/2010,0,LA
6,5/1/2010,0,LA
6,5/2/2010,0,LA
6,5/3/2010,0,LA
6,5/4/2010,0,LA
6,5/5/2010,0,LA
6,5/6/2010,0,LA
6,5/7/2010,0,LA
6,5/8/2010,0,LA
6,5/9/2010,0,LA
6,5/10/2010,0,LA
6,5/11/2010,0,LA
6,5/12/2010,0,LA
6,5/13/2010,0,LA
6,5/14/2010,0,LA
6,5/15/2010,0,LA
6,5/16/2010,0,LA
6,5/17/2010,0,LA
6,5/18/2010,0,LA
6,5/19/2010,0,LA
6,5/20/2010,0,LA
6,5/21/2010,0,LA
6,5/22/2010,0,LA
6,5/23/2010,0,LA
6,5/24/2010,0,LA
6,5/25/2010,0,LA
6,5/26/2010,0,LA
6,5/27/2010,0,LA
6,5/28/2010,0,LA
6,5/29/2010,0,LA
6,5/30/2010,0,LA
6,5/31/2010,0,LA
9,5/31/2012,0,LA
9,6/1/2012,0,LA
9,6/2/2012,0,LA
9,6/3/2012,0,LA
9,6/4/2012,0,LA
9,6/5/2012,0,LA
9,6/6/2012,0,LA
9,6/7/2012,0,LA
9,6/8/2012,0,LA
9,6/9/2012,0,LA
9,6/10/2012,0,LA
9,6/11/2012,0,LA
9,6/12/2012,0,LA
9,6/13/2012,0,LA
9,6/14/2012,0,LA
9,6/15/2012,0,LA
9,6/16/2012,0,LA
9,6/17/2012,0,LA
9,6/18/2012,0,LA
9,6/19/2012,0,LA
9,6/20/2012,0,LA
